price,signal
69930.9,0
69931,0
69931,0
69931,0
69931,0
69932,0
69941,0
69941.1,0
69948,0
69947.9,0
69944.5,0
69944.5,0
69944.6,0
69941,0
69941,0
69941,0
69941,0
69941,0
69941,0
69941,0
69941.1,0
69941,0
69941.1,0
69941.1,0
69940.6,0
69940.6,0
69929.5,0
69926.9,0
69921.4,0
69921.4,0
69918.4,0
69918.4,0
69918.4,0
69918.4,0
69918.4,0
69918.4,0
69918.3,0
69910.7,0
69910.2,0
69903.4,0
69890.3,0
69890.2,0
69890.2,0
69889,0
69889,0
69889,0
69888.9,0
69888.9,0
69889,0
69888.9,0
69888.9,0
69888.9,0
69888.9,0
69888.9,0
69885.6,0
69871.8,0
69876,0
69876,0
69875.9,0
69876,0
69875.9,0
69876,0
69875.9,0
69876,0
69879.2,0
69879.2,0
69879.2,0
69879.1,0
69879.2,0
69879.2,0
69879.1,0
69879.2,0
69879.1,0
69879.2,0
69879.2,0
69886.6,0
69886.6,0
69886.5,0
69890.2,0
69890.3,0
69890.2,0
